t,x,y
0.000000E0,9.505580E0,4.984795E0
3.333333E-2,9.356835E0,5.169683E0
6.666667E-2,9.173741E0,5.445194E0
1.000000E-1,9.036720E0,5.603865E0
1.333333E-1,8.869753E0,5.825175E0
1.666667E-1,8.644163E0,6.043321E0
2.000000E-1,8.488462E0,6.244599E0
2.333333E-1,8.311450E0,6.427534E0
2.666667E-1,8.103599E0,6.607776E0
3.166667E-1,7.850761E0,6.846184E0
3.500000E-1,7.671104E0,7.002340E0
4.000000E-1,7.361389E0,7.202478E0
4.333333E-1,7.208579E0,7.325012E0
4.666667E-1,7.029723E0,7.441608E0
5.000000E-1,6.845750E0,7.543237E0
5.333333E-1,6.662931E0,7.641387E0
5.666667E-1,6.466437E0,7.688319E0
6.000000E-1,6.282044E0,7.762450E0
6.333333E-1,6.099972E0,7.812927E0
6.666667E-1,5.945159E0,7.862125E0
7.000000E-1,5.770826E0,7.886403E0
7.333333E-1,5.561984E0,7.906496E0
7.666667E-1,5.405428E0,7.923224E0
8.000000E-1,5.204513E0,7.907228E0
8.333333E-1,5.029968E0,7.902818E0
8.666667E-1,4.884410E0,7.879943E0
9.000000E-1,4.703496E0,7.845453E0
9.333333E-1,4.529042E0,7.788189E0
9.666667E-1,4.345032E0,7.743048E0
1.016667E0,4.085737E0,7.641884E0
1.050000E0,3.927392E0,7.565458E0
1.083333E0,3.768354E0,7.466432E0
1.133333E0,3.482237E0,7.305122E0
1.166667E0,3.350829E0,7.187184E0
1.200000E0,3.174175E0,7.065463E0
1.250000E0,2.925796E0,6.843534E0
1.283333E0,2.755932E0,6.686191E0
1.316667E0,2.599330E0,6.527475E0
1.350000E0,2.408681E0,6.343978E0
1.400000E0,2.154333E0,6.063774E0
1.433333E0,1.990672E0,5.864656E0
1.483300E0,1.748597E0,5.530670E0
1.516633E0,1.606544E0,5.319918E0
1.549967E0,1.441733E0,5.081352E0
1.583300E0,1.279601E0,4.828256E0
1.616633E0,1.116771E0,4.581844E0
1.649967E0,9.570586E-1,4.307346E0
1.683300E0,7.997202E-1,4.042850E0
1.716633E0,6.420117E-1,3.747135E0
1.749967E0,4.790413E-1,3.463479E0
1.783300E0,3.514945E-1,3.146967E0
