t,x,y
0.000000E0,9.517691E0,2.999428E0
3.336667E-2,9.418103E0,3.177520E0
7.416667E-2,9.249572E0,3.517483E0
1.000000E-1,9.106756E0,3.853811E0
1.333667E-1,8.946545E0,4.161375E0
1.666000E-1,8.760172E0,4.465912E0
2.000333E-1,8.595508E0,4.756302E0
2.333667E-1,8.459442E0,5.038815E0
2.667000E-1,8.300234E0,5.301749E0
3.004667E-1,8.109389E0,5.556417E0
3.338667E-1,7.983402E0,5.801053E0
3.666667E-1,7.791053E0,6.035468E0
4.000333E-1,7.626436E0,6.274642E0
4.334333E-1,7.493367E0,6.476188E0
4.666667E-1,7.317499E0,6.662756E0
5.000667E-1,7.180985E0,6.859249E0
5.334000E-1,6.991667E0,7.034991E0
5.667667E-1,6.872041E0,7.183300E0
6.000000E-1,6.694869E0,7.338628E0
6.333667E-1,6.542937E0,7.463391E0
6.666667E-1,6.394811E0,7.597825E0
7.000333E-1,6.261933E0,7.719187E0
7.500333E-1,6.021159E0,7.870373E0
7.833333E-1,5.854281E0,7.957456E0
8.167333E-1,5.697499E0,8.037563E0
8.500667E-1,5.544965E0,8.099837E0
8.833667E-1,5.416955E0,8.160591E0
9.167667E-1,5.242633E0,8.202913E0
9.500667E-1,5.113765E0,8.239467E0
1.000033E0,4.890412E0,8.263150E0
1.050067E0,4.732218E0,8.266270E0
1.083400E0,4.574822E0,8.261388E0
1.124000E0,4.431811E0,8.243491E0
1.166733E0,4.210873E0,8.201115E0
1.200000E0,4.049689E0,8.158323E0
1.233400E0,3.905658E0,8.100819E0
1.266700E0,3.756030E0,8.040067E0
1.300300E0,3.633953E0,7.962214E0
1.333400E0,3.501503E0,7.881016E0
1.374500E0,3.356901E0,7.780821E0
1.416700E0,3.114980E0,7.618584E0
1.450067E0,2.995600E0,7.500020E0
1.483333E0,2.861756E0,7.362756E0
1.516733E0,2.689515E0,7.220549E0
1.550033E0,2.572742E0,7.063424E0
1.583367E0,2.440541E0,6.900045E0
1.622733E0,2.297939E0,6.721105E0
1.650167E0,2.129946E0,6.540098E0
1.683333E0,2.017993E0,6.341378E0
1.716667E0,1.851502E0,6.139950E0
1.750033E0,1.735383E0,5.921585E0
1.783300E0,1.574782E0,5.698822E0
1.816633E0,1.434405E0,5.460710E0
1.850000E0,1.290235E0,5.217691E0
1.883333E0,1.153652E0,4.959897E0
1.916600E0,1.012016E0,4.682370E0
1.950000E0,8.746785E-1,4.419581E0
1.983333E0,7.368917E-1,4.134825E0
2.016700E0,6.181438E-1,3.835460E0
2.050000E0,4.975359E-1,3.536347E0
2.083400E0,3.375098E-1,3.218618E0
