t,x,y
0.000000E0,9.510046E0,2.004642E0
3.336667E-2,9.207242E0,2.192738E0
6.670000E-2,8.891107E0,2.375642E0
1.000667E-1,8.570834E0,2.549129E0
1.334333E-1,8.248102E0,2.708839E0
1.667333E-1,7.711773E0,2.945024E0
2.000000E-1,7.611389E0,2.985155E0
2.333667E-1,7.266816E0,3.110468E0
2.666667E-1,6.950308E0,3.228150E0
3.000333E-1,6.650361E0,3.325140E0
3.333667E-1,6.307454E0,3.425608E0
3.880000E-1,6.022481E0,3.505305E0
4.166667E-1,5.511187E0,3.608073E0
4.500667E-1,5.225495E0,3.664299E0
4.833333E-1,4.860656E0,3.710809E0
5.166667E-1,4.435950E0,3.736579E0
5.499667E-1,4.282132E0,3.751866E0
5.887333E-1,3.998618E0,3.758764E0
6.166333E-1,3.690084E0,3.760491E0
6.500000E-1,3.366226E0,3.745155E0
6.833333E-1,3.066190E0,3.726587E0
7.166667E-1,2.789003E0,3.685545E0
7.499667E-1,2.490992E0,3.644106E0
7.833000E-1,2.189326E0,3.585310E0
8.334000E-1,1.716763E0,3.483909E0
8.666667E-1,1.402930E0,3.403753E0
9.000000E-1,1.108179E0,3.307004E0
9.333667E-1,7.985241E-1,3.205143E0
9.667333E-1,5.247526E-1,3.090823E0
1.000000E0,3.520480E-1,2.967875E0
