t,x,y
0.000000E0,9.506376E0,2.002590E0
3.330000E-2,9.451169E0,2.207260E0
6.666667E-2,9.283523E0,2.642782E0
9.990000E-2,9.179234E0,3.038984E0
1.333000E-1,9.006183E0,3.443935E0
1.666667E-1,8.888708E0,3.821035E0
1.999333E-1,8.723888E0,4.203250E0
2.332667E-1,8.611804E0,4.560275E0
2.666000E-1,8.447511E0,4.917096E0
2.999000E-1,8.326636E0,5.259993E0
3.332667E-1,8.164754E0,5.582850E0
3.690000E-1,8.023883E0,5.899848E0
3.999667E-1,7.894159E0,6.197575E0
4.333000E-1,7.751791E0,6.485047E0
4.666000E-1,7.707281E0,6.622249E0
5.166000E-1,7.506161E0,7.023905E0
5.499333E-1,7.306897E0,7.400341E0
5.832667E-1,7.149146E0,7.639416E0
6.166000E-1,7.015865E0,7.859973E0
6.499333E-1,6.894065E0,8.078746E0
6.833000E-1,6.768551E0,8.265503E0
7.166333E-1,6.622024E0,8.461610E0
7.499667E-1,6.516786E0,8.640854E0
7.832667E-1,6.372366E0,8.803543E0
8.166000E-1,6.250469E0,8.959961E0
8.499000E-1,6.113689E0,9.104246E0
8.833000E-1,5.964075E0,9.242026E0
9.166333E-1,5.831076E0,9.359774E0
9.499000E-1,5.718653E0,9.466396E0
9.833000E-1,5.585985E0,9.564237E0
1.016633E0,5.445762E0,9.661302E0
1.049967E0,5.329703E0,9.734941E0
1.083300E0,5.185519E0,9.801594E0
1.116667E0,5.064994E0,9.849483E0
1.149933E0,4.923542E0,9.898344E0
1.183333E0,4.831763E0,9.922937E0
1.216667E0,4.710494E0,9.943264E0
1.250000E0,4.562158E0,9.959056E0
1.283267E0,4.427582E0,9.960306E0
1.316633E0,4.333776E0,9.942321E0
1.349967E0,4.211317E0,9.919879E0
1.383300E0,4.085698E0,9.884968E0
1.419233E0,3.970999E0,9.841148E0
1.450000E0,3.846380E0,9.795950E0
1.483367E0,3.724350E0,9.723862E0
1.516667E0,3.607696E0,9.644073E0
1.550000E0,3.484124E0,9.561762E0
1.583367E0,3.363812E0,9.462660E0
1.616633E0,3.245955E0,9.360903E0
1.650033E0,3.122759E0,9.242101E0
1.683400E0,3.003762E0,9.120180E0
1.733300E0,2.818059E0,8.883651E0
1.766733E0,2.700012E0,8.722967E0
1.800067E0,2.574583E0,8.580619E0
1.833400E0,2.451639E0,8.402183E0
1.866733E0,2.342750E0,8.221207E0
1.900033E0,2.209334E0,8.021483E0
1.935500E0,2.107106E0,7.820478E0
1.966733E0,1.971267E0,7.604078E0
2.000067E0,1.850594E0,7.380528E0
2.033400E0,1.731717E0,7.141732E0
2.066733E0,1.612625E0,6.884789E0
2.100067E0,1.497707E0,6.638455E0
2.133400E0,1.399311E0,6.366721E0
2.170967E0,1.352846E0,6.223996E0
2.203167E0,1.152444E0,5.784767E0
2.236733E0,1.046873E0,5.501332E0
2.270233E0,9.490819E-1,5.186275E0
2.303233E0,8.073863E-1,4.880026E0
2.336133E0,7.531291E-1,4.720246E0
2.366667E0,6.012362E-1,4.217092E0
2.400000E0,4.726006E-1,3.880209E0
2.433300E0,3.687291E-1,3.521869E0
