t,x,y
0.000000E0,9.509230E0,2.002633E0
3.333333E-2,9.306064E0,2.102367E0
6.666667E-2,8.915976E0,2.261395E0
1.000333E-1,8.516050E0,2.420755E0
1.333667E-1,8.117616E0,2.563463E0
1.667333E-1,7.756477E0,2.701291E0
2.000000E-1,7.351294E0,2.823238E0
2.333333E-1,6.970847E0,2.927457E0
2.667333E-1,6.606223E0,3.038282E0
3.000333E-1,6.208471E0,3.121406E0
3.333667E-1,5.824837E0,3.199735E0
3.667000E-1,5.454875E0,3.262021E0
4.000667E-1,5.090344E0,3.319620E0
4.544667E-1,4.721362E0,3.363616E0
4.833333E-1,4.168517E0,3.405185E0
5.166667E-1,3.789497E0,3.420295E0
5.701000E-1,3.243445E0,3.423835E0
6.000333E-1,2.874132E0,3.407048E0
6.333667E-1,2.521826E0,3.386023E0
6.667000E-1,2.130823E0,3.346608E0
7.000333E-1,1.789748E0,3.303625E0
7.334000E-1,1.431872E0,3.246042E0
7.667333E-1,1.072709E0,3.183342E0
8.167000E-1,5.294765E-1,3.063820E0
