t,x,y
0.000000E0,9.513156E0,9.967034E-1
3.336667E-2,8.844328E0,1.295360E0
6.663333E-2,8.599529E0,1.398132E0
1.000000E-1,8.023999E0,1.638756E0
1.333667E-1,7.738516E0,1.756480E0
1.667333E-1,7.285538E0,1.923373E0
2.000667E-1,6.844050E0,2.075362E0
2.333333E-1,6.420249E0,2.216013E0
2.667000E-1,5.997258E0,2.338462E0
3.000000E-1,5.526777E0,2.473048E0
3.333667E-1,5.086433E0,2.578300E0
3.667333E-1,4.659604E0,2.674101E0
4.000333E-1,4.247041E0,2.756145E0
4.358667E-1,3.798022E0,2.833975E0
4.667000E-1,3.575019E0,2.875107E0
5.000667E-1,2.933789E0,2.956494E0
5.333000E-1,2.737440E0,2.975548E0
5.667333E-1,2.081826E0,3.025325E0
6.001000E-1,1.660088E0,3.040727E0
6.334333E-1,1.228560E0,3.053113E0
6.667667E-1,8.211841E-1,3.041900E0
7.000333E-1,3.890796E-1,3.035580E0
