t,x,y
0.000000E0,9.509084E0,1.004186E0
3.336667E-2,9.376312E0,1.404603E0
6.670000E-2,9.198880E0,1.809173E0
1.000333E-1,9.068487E0,2.200933E0
1.333667E-1,8.881157E0,2.571109E0
1.667000E-1,8.768261E0,2.928576E0
2.000333E-1,8.592275E0,3.282384E0
2.333667E-1,8.467142E0,3.622352E0
2.666667E-1,8.297968E0,3.943915E0
3.000333E-1,8.162731E0,4.263061E0
3.334333E-1,8.028020E0,4.563310E0
3.833667E-1,7.801603E0,4.985980E0
4.167000E-1,7.652313E0,5.262791E0
4.500333E-1,7.489524E0,5.526540E0
4.833667E-1,7.363077E0,5.765950E0
5.333667E-1,7.124819E0,6.124036E0
5.667333E-1,6.993560E0,6.365950E0
6.000667E-1,6.870719E0,6.544899E0
6.500333E-1,6.632525E0,6.843452E0
6.833667E-1,6.436289E0,7.080690E0
7.167000E-1,6.339954E0,7.187955E0
7.500333E-1,6.213971E0,7.344592E0
7.833667E-1,6.054944E0,7.484335E0
8.167000E-1,5.909012E0,7.623201E0
8.501000E-1,5.792392E0,7.744200E0
8.833667E-1,5.652474E0,7.862250E0
9.167000E-1,5.482651E0,7.960446E0
9.500333E-1,5.347707E0,8.044902E0
9.833667E-1,5.202237E0,8.124852E0
1.016700E0,5.067518E0,8.185914E0
1.050033E0,4.925638E0,8.243309E0
1.083367E0,4.812537E0,8.285407E0
1.116700E0,4.647332E0,8.322436E0
1.150000E0,4.517622E0,8.343727E0
1.183367E0,4.373076E0,8.359962E0
1.216700E0,4.230415E0,8.358828E0
1.250033E0,4.126925E0,8.345939E0
1.283367E0,3.972282E0,8.323616E0
1.316700E0,3.837525E0,8.287912E0
1.350033E0,3.711360E0,8.246669E0
1.383367E0,3.586159E0,8.185553E0
1.416733E0,3.455094E0,8.124771E0
1.450067E0,3.308085E0,8.046483E0
1.483400E0,3.165376E0,7.961850E0
1.522433E0,3.056940E0,7.866274E0
1.566733E0,2.868940E0,7.703600E0
1.600067E0,2.730307E0,7.579554E0
1.633400E0,2.586024E0,7.444847E0
1.666733E0,2.452985E0,7.302857E0
1.700100E0,2.347560E0,7.145289E0
1.733433E0,2.224080E0,6.984175E0
1.766733E0,2.091959E0,6.805689E0
1.800067E0,1.948343E0,6.623156E0
1.833400E0,1.836518E0,6.423654E0
1.866733E0,1.684099E0,6.221844E0
1.900067E0,1.591162E0,6.005236E0
1.933400E0,1.468290E0,5.782445E0
1.967000E0,1.344213E0,5.544962E0
2.016767E0,1.120328E0,5.164069E0
2.050067E0,1.029368E0,4.899843E0
2.100067E0,8.383027E-1,4.485305E0
2.133400E0,6.976518E-1,4.201116E0
2.166733E0,5.652786E-1,3.903599E0
2.200067E0,4.723979E-1,3.603425E0
2.233400E0,3.547041E-1,3.284139E0
