t,x,y
0.000000E0,9.499590E0,3.000647E0
3.333333E-2,9.324706E0,3.082306E0
6.666667E-2,8.997229E0,3.202040E0
1.000667E-1,8.631809E0,3.355010E0
1.334000E-1,8.298233E0,3.480520E0
1.667333E-1,7.955794E0,3.594273E0
2.000667E-1,7.621873E0,3.697514E0
2.333667E-1,7.298654E0,3.780896E0
2.667000E-1,6.920338E0,3.862734E0
3.167333E-1,6.437001E0,3.959485E0
3.500333E-1,6.106757E0,4.005372E0
3.833667E-1,5.778104E0,4.042281E0
4.333333E-1,5.323739E0,4.079360E0
4.667000E-1,4.963111E0,4.086961E0
5.000667E-1,4.639840E0,4.086440E0
5.389333E-1,4.321825E0,4.079294E0
5.666667E-1,4.014947E0,4.058479E0
5.999667E-1,3.684959E0,4.022253E0
6.333000E-1,3.376585E0,3.980628E0
6.667000E-1,3.060783E0,3.921538E0
7.000333E-1,2.714230E0,3.864070E0
7.333667E-1,2.398115E0,3.784548E0
7.666667E-1,2.078100E0,3.701534E0
8.000000E-1,1.762516E0,3.602968E0
8.333333E-1,1.475547E0,3.499709E0
8.667000E-1,1.134422E0,3.383179E0
9.072667E-1,8.448960E-1,3.258751E0
9.333667E-1,5.343861E-1,3.106119E0
9.748333E-1,3.595970E-1,2.960457E0
