t,x,y
0.000000E0,9.511132E0,4.008566E0
3.316667E-2,9.215845E0,4.239240E0
8.316667E-2,8.889707E0,4.448903E0
1.331667E-1,8.535596E0,4.688753E0
1.665000E-1,8.279353E0,4.825906E0
1.998333E-1,8.036669E0,4.959735E0
2.331667E-1,7.765708E0,5.074353E0
2.831667E-1,7.400848E0,5.229671E0
3.165000E-1,7.190143E0,5.323652E0
3.498333E-1,6.946872E0,5.405373E0
3.831667E-1,6.709190E0,5.470938E0
4.331667E-1,6.345956E0,5.549536E0
4.665000E-1,6.083886E0,5.589177E0
5.165000E-1,5.742056E0,5.623005E0
5.498333E-1,5.531252E0,5.636430E0
5.831667E-1,5.271474E0,5.631511E0
6.165000E-1,5.052492E0,5.629500E0
6.498333E-1,4.800399E0,5.606592E0
6.831667E-1,4.568327E0,5.572855E0
7.165000E-1,4.347879E0,5.530839E0
7.498333E-1,4.106798E0,5.477228E0
7.831667E-1,3.890051E0,5.411196E0
8.165000E-1,3.668627E0,5.346525E0
8.498333E-1,3.453139E0,5.265240E0
8.998333E-1,3.067642E0,5.109650E0
9.331667E-1,2.842747E0,4.991606E0
9.831667E-1,2.522159E0,4.812265E0
1.016500E0,2.278897E0,4.668473E0
1.049833E0,2.053965E0,4.526269E0
1.083167E0,1.850500E0,4.368073E0
1.116500E0,1.609857E0,4.206791E0
1.149833E0,1.398070E0,4.025410E0
1.183167E0,1.157168E0,3.833042E0
1.216500E0,9.366683E-1,3.637186E0
1.249833E0,7.092927E-1,3.428909E0
1.304333E0,3.724008E-1,3.086806E0
