t,x,y
0.000000E0,9.519404E0,2.999100E0
3.330000E-2,9.252445E0,3.195318E0
6.683333E-2,8.998414E0,3.378663E0
1.000000E-1,8.684122E0,3.555849E0
1.500000E-1,8.294597E0,3.797798E0
1.833000E-1,8.036072E0,3.955059E0
2.166667E-1,7.781813E0,4.079721E0
2.500000E-1,7.483208E0,4.203710E0
2.833000E-1,7.222732E0,4.314571E0
3.166000E-1,6.958200E0,4.403049E0
3.666000E-1,6.574482E0,4.539054E0
3.999667E-1,6.298158E0,4.603473E0
4.333000E-1,6.079523E0,4.659505E0
4.666000E-1,5.823483E0,4.717974E0
4.999667E-1,5.539094E0,4.753424E0
5.333000E-1,5.274668E0,4.778108E0
5.666333E-1,5.017429E0,4.797917E0
5.999667E-1,4.758603E0,4.800707E0
6.333000E-1,4.499653E0,4.798403E0
6.668667E-1,4.243319E0,4.777177E0
7.166333E-1,3.866499E0,4.737462E0
7.545667E-1,3.741804E0,4.717184E0
7.872667E-1,3.353058E0,4.639615E0
8.166333E-1,3.136137E0,4.578203E0
8.499667E-1,2.884469E0,4.500112E0
8.833333E-1,2.630851E0,4.417463E0
9.167000E-1,2.374995E0,4.315441E0
9.502667E-1,2.115913E0,4.205531E0
9.833333E-1,1.897268E0,4.095156E0
1.016733E0,1.642412E0,3.960158E0
1.050033E0,1.376655E0,3.819298E0
1.083367E0,1.137731E0,3.677091E0
1.116667E0,9.159763E-1,3.519138E0
1.150000E0,6.572819E-1,3.340932E0
1.183567E0,4.399515E-1,3.160914E0
