t,x,y
0.000000E0,9.508796E0,9.805133E-1
4.990000E-2,9.409028E0,1.481195E0
8.316667E-2,9.288592E0,1.982631E0
1.165333E-1,9.112999E0,2.470484E0
1.554667E-1,9.018402E0,2.960962E0
1.832000E-1,8.880006E0,3.455072E0
2.165667E-1,8.758296E0,3.908589E0
2.498333E-1,8.630479E0,4.352413E0
2.832000E-1,8.535407E0,4.785817E0
3.165000E-1,8.439064E0,5.202436E0
3.498000E-1,8.284365E0,5.608691E0
3.832000E-1,8.151957E0,6.011656E0
4.167333E-1,8.057852E0,6.393255E0
4.664667E-1,7.871928E0,6.953723E0
4.998333E-1,7.796532E0,7.309218E0
5.331333E-1,7.660876E0,7.648663E0
5.665000E-1,7.532958E0,7.979742E0
5.998000E-1,7.422728E0,8.292729E0
6.331000E-1,7.332992E0,8.588954E0
6.665000E-1,7.182318E0,8.884314E0
6.998667E-1,7.114979E0,9.160302E0
7.331333E-1,6.952294E0,9.434137E0
7.665000E-1,6.866688E0,9.690978E0
7.998333E-1,6.725416E0,9.935777E0
8.332000E-1,6.641413E0,1.016839E1
8.665000E-1,6.536840E0,1.038291E1
8.998000E-1,6.411396E0,1.060200E1
9.332000E-1,6.275901E0,1.080865E1
9.665667E-1,6.201400E0,1.100390E1
9.998333E-1,6.065473E0,1.117107E1
1.033200E0,6.001721E0,1.133365E1
1.066567E0,5.833867E0,1.150933E1
1.099900E0,5.733402E0,1.163355E1
1.133200E0,5.661077E0,1.176126E1
1.166533E0,5.533288E0,1.188497E1
1.199867E0,5.435765E0,1.198202E1
1.233200E0,5.330149E0,1.208148E1
1.274067E0,5.221579E0,1.217233E1
1.305967E0,5.174720E0,1.221036E1
1.333200E0,4.989507E0,1.231074E1
1.366533E0,4.919395E0,1.235693E1
1.399833E0,4.809534E0,1.240254E1
1.449900E0,4.630738E0,1.244977E1
1.483200E0,4.514318E0,1.245948E1
1.516533E0,4.441070E0,1.245924E1
1.549833E0,4.346828E0,1.245434E1
1.583167E0,4.235889E0,1.243192E1
1.616533E0,4.136642E0,1.240456E1
1.650033E0,4.032543E0,1.236162E1
1.683200E0,3.936090E0,1.230874E1
1.716533E0,3.828187E0,1.225219E1
1.749833E0,3.730495E0,1.217945E1
1.783633E0,3.623683E0,1.210196E1
1.816467E0,3.526485E0,1.200510E1
1.849867E0,3.426197E0,1.190437E1
1.883167E0,3.325400E0,1.178164E1
1.916533E0,3.225378E0,1.165688E1
1.949867E0,3.109884E0,1.152991E1
1.983167E0,3.022244E0,1.138021E1
2.016500E0,2.926142E0,1.123008E1
2.049867E0,2.809289E0,1.105737E1
2.083467E0,2.726772E0,1.088176E1
2.116467E0,2.627069E0,1.070343E1
2.169500E0,2.506769E0,1.050499E1
2.203033E0,2.375650E0,1.018095E1
2.237200E0,2.270851E0,9.976405E0
2.286533E0,2.180638E0,9.731992E0
2.319600E0,2.011242E0,9.375191E0
2.353000E0,1.914771E0,9.125481E0
2.383233E0,1.832860E0,8.853554E0
2.416533E0,1.715042E0,8.578375E0
2.449867E0,1.615557E0,8.283626E0
2.483200E0,1.537503E0,7.979050E0
2.516533E0,1.417812E0,7.676470E0
2.549833E0,1.319647E0,7.355461E0
2.583167E0,1.220634E0,7.029256E0
2.616467E0,1.123581E0,6.685630E0
2.649867E0,1.058301E0,6.336849E0
2.683167E0,9.242973E-1,5.980747E0
2.716533E0,8.292659E-1,5.609292E0
2.749867E0,7.338207E-1,5.236750E0
2.783167E0,6.446668E-1,4.848651E0
2.816500E0,5.557828E-1,4.450956E0
2.849833E0,4.936738E-1,4.052221E0
2.883167E0,3.526005E-1,3.632046E0
2.916500E0,3.383137E-1,3.206695E0
