t,x,y
0.000000E0,9.516187E0,2.986972E0
3.340000E-2,9.290810E0,3.250561E0
6.673333E-2,9.088426E0,3.505766E0
1.000667E-1,8.892944E0,3.749993E0
1.334000E-1,8.675822E0,3.982999E0
1.669000E-1,8.497451E0,4.205833E0
2.167000E-1,8.199299E0,4.506923E0
2.500333E-1,7.976953E0,4.708205E0
2.833000E-1,7.795140E0,4.881565E0
3.167000E-1,7.600645E0,5.048392E0
3.500333E-1,7.370073E0,5.206556E0
3.833667E-1,7.171063E0,5.349649E0
4.333333E-1,6.886676E0,5.544142E0
4.667000E-1,6.692047E0,5.665935E0
5.000000E-1,6.494063E0,5.764619E0
5.533000E-1,6.193219E0,5.892321E0
5.833333E-1,5.991404E0,5.968763E0
6.166667E-1,5.796731E0,6.032756E0
6.499667E-1,5.628854E0,6.087552E0
6.833333E-1,5.434541E0,6.129568E0
7.166667E-1,5.202417E0,6.163012E0
7.500333E-1,5.023924E0,6.186519E0
7.999667E-1,4.840587E0,6.191448E0
8.334000E-1,4.531438E0,6.187345E0
8.667000E-1,4.354521E0,6.169593E0
9.000000E-1,4.179059E0,6.145194E0
9.380333E-1,4.095188E0,6.127616E0
9.726667E-1,3.815930E0,6.049735E0
1.000300E0,3.632930E0,5.991500E0
1.050000E0,3.354584E0,5.886561E0
1.083400E0,3.161346E0,5.790821E0
1.116867E0,2.956220E0,5.692171E0
1.150200E0,2.765579E0,5.587673E0
1.200033E0,2.513864E0,5.406981E0
1.233333E0,2.336247E0,5.268881E0
1.266700E0,2.121487E0,5.125411E0
1.300100E0,1.962484E0,4.968796E0
1.333333E0,1.787889E0,4.807187E0
1.366733E0,1.591864E0,4.629109E0
1.400067E0,1.407162E0,4.445071E0
1.440867E0,1.316906E0,4.344811E0
1.466733E0,1.062126E0,4.032367E0
1.500033E0,8.927011E-1,3.826891E0
1.533367E0,6.841245E-1,3.591404E0
1.566733E0,5.201342E-1,3.360979E0
1.600100E0,3.370966E-1,3.108370E0
