t,x,y
0.000000E0,9.506751E0,1.999307E0
3.333333E-2,9.380351E0,2.274659E0
6.660000E-2,9.214650E0,2.541122E0
9.996667E-2,9.067148E0,2.791187E0
1.333000E-1,8.900387E0,3.083340E0
1.666333E-1,8.731086E0,3.381290E0
2.000000E-1,8.527273E0,3.657655E0
2.333000E-1,8.350688E0,3.920379E0
2.666333E-1,8.165714E0,4.180531E0
2.999667E-1,7.993068E0,4.418170E0
3.332667E-1,7.810729E0,4.644416E0
3.667000E-1,7.655531E0,4.863770E0
3.999667E-1,7.487525E0,5.063104E0
4.333000E-1,7.293202E0,5.261984E0
4.666333E-1,7.151161E0,5.442518E0
5.073667E-1,6.952943E0,5.621411E0
5.334333E-1,6.765508E0,5.796344E0
5.666667E-1,6.635524E0,5.921473E0
5.999333E-1,6.438794E0,6.063110E0
6.333333E-1,6.290784E0,6.179018E0
6.666667E-1,6.119791E0,6.298533E0
6.999667E-1,5.943525E0,6.404411E0
7.333333E-1,5.791944E0,6.496994E0
7.833000E-1,5.540556E0,6.606836E0
8.166333E-1,5.351832E0,6.677927E0
8.499667E-1,5.210642E0,6.720568E0
8.832333E-1,5.050203E0,6.762803E0
9.166333E-1,4.892689E0,6.796293E0
9.499667E-1,4.725938E0,6.817683E0
9.833000E-1,4.555407E0,6.822896E0
1.022967E0,4.381084E0,6.824366E0
1.050000E0,4.228772E0,6.799653E0
1.083333E0,4.047163E0,6.783372E0
1.116667E0,3.885284E0,6.756804E0
1.149967E0,3.751478E0,6.701086E0
1.200000E0,3.503111E0,6.604368E0
1.233333E0,3.322498E0,6.540891E0
1.266633E0,3.164121E0,6.460882E0
1.299967E0,3.030608E0,6.360840E0
1.333300E0,2.866146E0,6.263630E0
1.366633E0,2.718535E0,6.150147E0
1.399967E0,2.568002E0,6.021999E0
1.433267E0,2.386528E0,5.898035E0
1.466633E0,2.232050E0,5.757255E0
1.499967E0,2.088314E0,5.580855E0
1.549967E0,1.835860E0,5.336626E0
1.583300E0,1.709574E0,5.159052E0
1.616633E0,1.527105E0,4.964063E0
1.649967E0,1.369078E0,4.761653E0
1.683300E0,1.227614E0,4.543737E0
1.716600E0,1.093674E0,4.318084E0
1.749967E0,9.313793E-1,4.092271E0
1.783300E0,7.654859E-1,3.858043E0
1.816633E0,6.058162E-1,3.598292E0
1.849967E0,4.775747E-1,3.337086E0
1.890000E0,3.080981E-1,3.061785E0
