t,x,y
0.000000E0,9.504316E0,1.001033E0
3.333333E-2,9.392355E0,1.179453E0
6.666667E-2,9.220702E0,1.479147E0
1.000000E-1,9.021732E0,1.797989E0
1.333333E-1,8.798493E0,2.083694E0
1.666667E-1,8.589778E0,2.360420E0
2.000000E-1,8.401190E0,2.638670E0
2.333333E-1,8.203905E0,2.884559E0
2.666667E-1,8.008919E0,3.127141E0
3.000000E-1,7.820700E0,3.364361E0
3.333333E-1,7.642934E0,3.598289E0
3.666667E-1,7.429706E0,3.801896E0
4.000000E-1,7.257128E0,4.001403E0
4.500000E-1,6.981218E0,4.278158E0
4.833333E-1,6.770098E0,4.444761E0
5.166667E-1,6.600943E0,4.602238E0
5.500000E-1,6.401767E0,4.754132E0
6.000000E-1,6.121844E0,4.959490E0
6.333333E-1,5.935577E0,5.074342E0
6.666667E-1,5.752322E0,5.182332E0
7.000000E-1,5.582839E0,5.277582E0
7.333333E-1,5.349819E0,5.363478E0
7.666667E-1,5.195324E0,5.439846E0
8.000000E-1,5.021738E0,5.501517E0
8.333333E-1,4.804265E0,5.556464E0
8.666667E-1,4.628869E0,5.596450E0
9.000000E-1,4.442243E0,5.621704E0
9.333333E-1,4.266717E0,5.642372E0
9.666667E-1,4.102935E0,5.646468E0
1.000000E0,3.924989E0,5.643220E0
1.033333E0,3.720711E0,5.635054E0
1.066667E0,3.566308E0,5.604343E0
1.100000E0,3.359788E0,5.564155E0
1.133333E0,3.191053E0,5.521643E0
1.166700E0,3.010129E0,5.463317E0
1.200033E0,2.824879E0,5.398649E0
1.233367E0,2.823769E0,5.399501E0
1.266700E0,2.772457E0,5.365202E0
1.300033E0,2.656680E0,5.320566E0
1.333367E0,2.561550E0,5.278392E0
1.366700E0,2.076011E0,4.950532E0
1.400033E0,2.045166E0,4.917186E0
1.433367E0,1.945498E0,4.847639E0
1.466700E0,1.766579E0,4.724374E0
1.509700E0,1.511492E0,4.504381E0
1.550033E0,1.106524E0,4.083761E0
1.600033E0,8.252788E-1,3.805618E0
1.633367E0,6.878253E-1,3.618891E0
1.666700E0,4.907831E-1,3.401469E0
1.700033E0,3.434196E-1,3.182891E0
