t,x,y
0.000000E0,9.505844E0,5.000378E0
3.336667E-2,9.282946E0,5.101337E0
6.690000E-2,9.086372E0,5.196198E0
1.166667E-1,8.640294E0,5.343528E0
1.500000E-1,8.361380E0,5.438802E0
1.833333E-1,8.114192E0,5.517602E0
2.166667E-1,7.827837E0,5.583024E0
2.499667E-1,7.513387E0,5.639321E0
2.833333E-1,7.243827E0,5.681696E0
3.166667E-1,6.987933E0,5.720259E0
3.500333E-1,6.699190E0,5.740669E0
3.833000E-1,6.448680E0,5.758198E0
4.166667E-1,6.167395E0,5.759422E0
4.555333E-1,6.002405E0,5.755019E0
4.833333E-1,5.597113E0,5.729342E0
5.333333E-1,5.198553E0,5.679787E0
5.666333E-1,4.924746E0,5.623672E0
6.166333E-1,4.542261E0,5.535491E0
6.499667E-1,4.272885E0,5.460683E0
6.832667E-1,4.030102E0,5.380959E0
7.166333E-1,3.715155E0,5.280434E0
7.499667E-1,3.466423E0,5.179018E0
7.833333E-1,3.222441E0,5.061555E0
8.166333E-1,3.074535E0,4.999115E0
8.499667E-1,2.687867E0,4.800873E0
8.887667E-1,2.450172E0,4.656697E0
9.215000E-1,2.187478E0,4.499439E0
9.499333E-1,1.918273E0,4.334005E0
9.833000E-1,1.652115E0,4.154926E0
1.033300E0,1.279156E0,3.862898E0
1.066633E0,1.013289E0,3.661408E0
1.099967E0,7.724361E-1,3.446880E0
1.133300E0,5.067710E-1,3.218781E0
1.166667E0,3.210625E-1,2.984329E0
