t,x,y
0.000000E0,9.501625E0,4.003021E0
3.333333E-2,9.361428E0,4.159574E0
6.666667E-2,9.159263E0,4.350655E0
1.000000E-1,8.973767E0,4.558706E0
1.557667E-1,8.755391E0,4.758122E0
1.871667E-1,8.461563E0,5.030009E0
2.208000E-1,8.222694E0,5.205500E0
2.550333E-1,8.051347E0,5.358662E0
2.833667E-1,7.818871E0,5.510585E0
3.236333E-1,7.595962E0,5.647191E0
3.500000E-1,7.416669E0,5.769622E0
3.885333E-1,7.175500E0,5.898869E0
4.221000E-1,6.951114E0,6.003693E0
4.666667E-1,6.668913E0,6.125546E0
5.000000E-1,6.478917E0,6.199891E0
5.333333E-1,6.259501E0,6.267460E0
5.711667E-1,6.057896E0,6.315053E0
6.056333E-1,5.828715E0,6.362088E0
6.394333E-1,5.641007E0,6.401577E0
6.742000E-1,5.543025E0,6.405272E0
7.000000E-1,5.256314E0,6.422554E0
7.391667E-1,5.037265E0,6.424522E0
7.666667E-1,4.837871E0,6.406676E0
8.166667E-1,4.540348E0,6.365576E0
8.556667E-1,4.339641E0,6.325815E0
9.000000E-1,4.042058E0,6.227308E0
9.500000E-1,3.776969E0,6.139255E0
9.876667E-1,3.558162E0,6.046127E0
1.021000E0,3.391175E0,5.960681E0
1.054633E0,3.183841E0,5.860257E0
1.088600E0,2.978287E0,5.722552E0
1.123333E0,2.796679E0,5.622583E0
1.150000E0,2.637637E0,5.485967E0
1.200033E0,2.320136E0,5.262978E0
1.238367E0,2.159435E0,5.102712E0
1.272200E0,2.061909E0,5.003656E0
1.303467E0,1.766403E0,4.730189E0
1.333333E0,1.599835E0,4.558357E0
1.371400E0,1.414662E0,4.350689E0
1.416667E0,1.144205E0,4.024728E0
1.450000E0,9.642646E-1,3.799618E0
1.490400E0,7.591264E-1,3.564171E0
1.516667E0,5.587840E-1,3.306671E0
1.557400E0,3.976006E-1,3.046286E0
