t,x,y
0.000000E0,9.508593E0,3.985004E0
3.333333E-2,9.336191E0,4.323088E0
6.663333E-2,9.158315E0,4.650612E0
1.000000E-1,9.007229E0,4.964317E0
1.333000E-1,8.846480E0,5.263222E0
1.667000E-1,8.685862E0,5.545184E0
2.000000E-1,8.527583E0,5.824465E0
2.333667E-1,8.389283E0,6.104762E0
2.666667E-1,8.219568E0,6.345548E0
3.030333E-1,8.081168E0,6.588728E0
3.333333E-1,7.908512E0,6.809795E0
3.692333E-1,7.750395E0,7.027373E0
3.999000E-1,7.589127E0,7.242917E0
4.332333E-1,7.453801E0,7.428590E0
4.665667E-1,7.303058E0,7.607276E0
5.059000E-1,7.139375E0,7.780562E0
5.499667E-1,6.908806E0,8.022171E0
5.833000E-1,6.772540E0,8.171148E0
6.167000E-1,6.689083E0,8.232265E0
6.499667E-1,6.469893E0,8.423510E0
6.878000E-1,6.306892E0,8.523119E0
7.166333E-1,6.159147E0,8.621236E0
7.499667E-1,6.002598E0,8.705541E0
8.053333E-1,5.848596E0,8.783354E0
8.333333E-1,5.628744E0,8.869146E0
8.666333E-1,5.501143E0,8.925179E0
9.046667E-1,5.371988E0,8.950774E0
9.333000E-1,5.225304E0,8.983864E0
9.666333E-1,5.069041E0,8.991520E0
9.999333E-1,4.911567E0,9.001271E0
1.033267E0,4.786672E0,8.988622E0
1.066633E0,4.652115E0,8.968052E0
1.116633E0,4.404207E0,8.924588E0
1.149967E0,4.287794E0,8.883614E0
1.183300E0,4.149972E0,8.825390E0
1.216633E0,4.007845E0,8.749521E0
1.249933E0,3.843875E0,8.670469E0
1.283300E0,3.721872E0,8.585808E0
1.316633E0,3.589436E0,8.486954E0
1.350000E0,3.443472E0,8.385194E0
1.386267E0,3.282633E0,8.263810E0
1.419100E0,3.165445E0,8.127320E0
1.450000E0,3.004893E0,7.991190E0
1.483300E0,2.867502E0,7.830511E0
1.520233E0,2.723912E0,7.670904E0
1.549967E0,2.607260E0,7.503964E0
1.583333E0,2.446984E0,7.323679E0
1.616667E0,2.302038E0,7.127828E0
1.649967E0,2.169313E0,6.924789E0
1.683300E0,2.031086E0,6.710501E0
1.736333E0,1.892256E0,6.486124E0
1.786600E0,1.689479E0,6.142686E0
1.819833E0,1.554867E0,5.886451E0
1.853233E0,1.414645E0,5.625055E0
1.886300E0,1.287803E0,5.362953E0
1.919500E0,1.100179E0,4.943396E0
1.966633E0,8.851098E-1,4.502553E0
1.999933E0,7.623634E-1,4.189966E0
2.033300E0,6.228271E-1,3.867843E0
2.070533E0,4.864213E-1,3.545538E0
2.100000E0,3.752934E-1,3.205933E0
