t,x,y
0.000000E0,9.507663E0,3.989307E0
3.330000E-2,9.410884E0,4.145735E0
6.663333E-2,9.252774E0,4.409411E0
1.000000E-1,9.068211E0,4.671365E0
1.332667E-1,8.890298E0,4.935754E0
1.666333E-1,8.709196E0,5.171118E0
1.999667E-1,8.535239E0,5.410207E0
2.332333E-1,8.324552E0,5.631639E0
2.666333E-1,8.169030E0,5.830221E0
2.999333E-1,7.962664E0,6.034055E0
3.333000E-1,7.787735E0,6.227566E0
3.666000E-1,7.604792E0,6.393436E0
3.999667E-1,7.451771E0,6.549679E0
4.333000E-1,7.243729E0,6.712277E0
4.832667E-1,6.977461E0,6.928060E0
5.166000E-1,6.802000E0,7.048262E0
5.499667E-1,6.625474E0,7.154050E0
5.833000E-1,6.452798E0,7.254377E0
6.332333E-1,6.202756E0,7.383160E0
6.666333E-1,6.044252E0,7.453623E0
6.999333E-1,5.846346E0,7.513704E0
7.499667E-1,5.591206E0,7.588167E0
7.832667E-1,5.410962E0,7.627787E0
8.166333E-1,5.265622E0,7.646950E0
8.499667E-1,5.106527E0,7.653258E0
8.834000E-1,4.950721E0,7.650189E0
9.168333E-1,4.777611E0,7.647839E0
9.499667E-1,4.590080E0,7.630206E0
9.832667E-1,4.436014E0,7.590272E0
1.016633E0,4.256932E0,7.555841E0
1.050000E0,4.111202E0,7.490531E0
1.083300E0,3.953609E0,7.428674E0
1.116667E0,3.786719E0,7.352227E0
1.150000E0,3.612372E0,7.269575E0
1.200000E0,3.353240E0,7.126690E0
1.249967E0,3.136608E0,6.948413E0
1.283267E0,2.972670E0,6.826855E0
1.323900E0,2.808595E0,6.687713E0
1.349933E0,2.623226E0,6.547629E0
1.383333E0,2.465612E0,6.389237E0
1.416633E0,2.332856E0,6.210760E0
1.450000E0,2.144697E0,6.033251E0
1.499967E0,1.904012E0,5.751271E0
1.549967E0,1.669484E0,5.447345E0
1.583267E0,1.515383E0,5.226686E0
1.616667E0,1.352802E0,4.992371E0
1.649967E0,1.193142E0,4.750459E0
1.683333E0,1.044836E0,4.505218E0
1.716633E0,9.007664E-1,4.247708E0
1.750000E0,7.263602E-1,3.971106E0
1.783367E0,5.678275E-1,3.689696E0
1.816667E0,4.143054E-1,3.395861E0
1.850000E0,3.275573E-1,3.092235E0
