t,x,y
0.000000E0,9.505708E0,2.005963E0
3.336667E-2,9.393018E0,2.513711E0
6.670000E-2,9.290852E0,2.985400E0
1.000333E-1,9.182632E0,3.537386E0
1.333667E-1,9.070750E0,3.978651E0
1.666667E-1,8.938491E0,4.434424E0
2.000000E-1,8.783907E0,4.891359E0
2.333333E-1,8.700887E0,5.327365E0
2.666667E-1,8.539733E0,5.758923E0
3.000000E-1,8.422977E0,6.170297E0
3.333667E-1,8.308505E0,6.566326E0
3.666667E-1,8.189481E0,6.953764E0
4.000000E-1,8.070935E0,7.336545E0
4.335000E-1,7.949801E0,7.698934E0
4.666667E-1,7.840780E0,8.045733E0
5.000000E-1,7.718941E0,8.392669E0
5.333333E-1,7.600356E0,8.723932E0
5.666667E-1,7.478872E0,9.043193E0
6.166667E-1,7.308487E0,9.501817E0
6.500000E-1,7.217514E0,9.786586E0
6.833333E-1,7.081888E0,1.005820E1
7.166667E-1,6.972635E0,1.031748E1
7.500000E-1,6.866326E0,1.058507E1
7.833333E-1,6.789276E0,1.080905E1
8.166667E-1,6.636416E0,1.103621E1
8.500000E-1,6.535465E0,1.125798E1
8.833333E-1,6.446513E0,1.146759E1
9.166667E-1,6.299096E0,1.166019E1
9.500000E-1,6.223972E0,1.184026E1
9.833000E-1,6.129661E0,1.200498E1
1.016633E0,5.997070E0,1.216748E1
1.049967E0,5.921480E0,1.230774E1
1.083300E0,5.766606E0,1.244935E1
1.116633E0,5.682571E0,1.257205E1
1.149967E0,5.551034E0,1.269187E1
1.199967E0,5.410455E0,1.283894E1
1.236933E0,5.375309E0,1.288129E1
1.266767E0,5.228559E0,1.299030E1
1.300000E0,5.095704E0,1.306429E1
1.333333E0,5.023640E0,1.311099E1
1.366667E0,4.865665E0,1.316193E1
1.400000E0,4.800103E0,1.317889E1
1.433333E0,4.686256E0,1.319571E1
1.466667E0,4.554933E0,1.321413E1
1.499967E0,4.455424E0,1.320934E1
1.533267E0,4.378146E0,1.319518E1
1.566633E0,4.279598E0,1.316890E1
1.599967E0,4.147120E0,1.313814E1
1.633300E0,4.067726E0,1.309332E1
1.666633E0,3.937054E0,1.304390E1
1.699967E0,3.882678E0,1.297173E1
1.733333E0,3.751406E0,1.289332E1
1.766633E0,3.641033E0,1.281165E1
1.800000E0,3.567546E0,1.270946E1
1.833300E0,3.447640E0,1.259132E1
1.866867E0,3.341575E0,1.246743E1
1.900000E0,3.275188E0,1.233781E1
1.933300E0,3.154039E0,1.220420E1
1.966667E0,3.043060E0,1.204932E1
2.000000E0,2.978689E0,1.188537E1
2.033333E0,2.872245E0,1.171946E1
2.089100E0,2.784717E0,1.153580E1
2.122300E0,2.655083E0,1.123367E1
2.155733E0,2.545549E0,1.102907E1
2.189000E0,2.467894E0,1.081161E1
2.223267E0,2.341478E0,1.058128E1
2.256600E0,2.231262E0,1.034853E1
2.300033E0,2.081960E0,9.972414E0
2.333367E0,2.022003E0,9.705287E0
2.366667E0,1.937675E0,9.428726E0
2.400033E0,1.830965E0,9.145564E0
2.433367E0,1.748861E0,8.856551E0
2.466667E0,1.636452E0,8.545972E0
2.500000E0,1.563100E0,8.242381E0
2.533333E0,1.439614E0,7.911221E0
2.566667E0,1.356043E0,7.587452E0
2.600033E0,1.244990E0,7.238483E0
2.633300E0,1.181263E0,6.885751E0
2.666667E0,1.097253E0,6.525467E0
2.700000E0,9.982794E-1,6.144994E0
2.733333E0,9.157370E-1,5.775002E0
2.766667E0,8.200840E-1,5.385653E0
2.800000E0,7.008465E-1,4.995846E0
2.833333E0,6.337497E-1,4.577222E0
2.866633E0,5.593917E-1,4.161499E0
2.899967E0,4.539214E-1,3.737459E0
2.933333E0,3.433719E-1,3.298930E0
