t,x,y
0.000000E0,9.501950E0,3.993899E0
3.333333E-2,9.199299E0,4.150654E0
7.306667E-2,8.905650E0,4.278439E0
1.074000E-1,8.647728E0,4.397807E0
1.500000E-1,8.158300E0,4.577291E0
2.063667E-1,7.733442E0,4.713227E0
2.333333E-1,7.415306E0,4.801964E0
2.667000E-1,7.009052E0,4.894274E0
3.000333E-1,6.726800E0,4.947228E0
3.333667E-1,6.440156E0,4.991013E0
3.667000E-1,6.138823E0,5.016120E0
4.000333E-1,5.886643E0,5.036125E0
4.333667E-1,5.596785E0,5.046975E0
4.667000E-1,5.294219E0,5.040850E0
5.000333E-1,5.047552E0,5.029660E0
5.333667E-1,4.760967E0,5.004421E0
5.726333E-1,4.465212E0,4.973576E0
6.000333E-1,4.190428E0,4.927011E0
6.333667E-1,3.905741E0,4.870791E0
6.731667E-1,3.653062E0,4.813649E0
7.043667E-1,3.356366E0,4.730215E0
7.500333E-1,2.976697E0,4.595045E0
7.833667E-1,2.717218E0,4.494359E0
8.203667E-1,2.440480E0,4.375869E0
8.536333E-1,2.145621E0,4.244430E0
8.873000E-1,1.880836E0,4.116171E0
9.220333E-1,1.617558E0,3.972218E0
9.500333E-1,1.350948E0,3.812265E0
9.833667E-1,1.081013E0,3.651242E0
1.023733E0,8.296534E-1,3.474320E0
1.066700E0,4.298630E-1,3.188573E0
