t,x,y
0.000000E0,9.506565E0,4.992097E0
3.330000E-2,9.368213E0,5.130759E0
6.670000E-2,9.116154E0,5.232630E0
1.166667E-1,8.756726E0,5.469334E0
1.500000E-1,8.507797E0,5.571989E0
1.834000E-1,8.281089E0,5.689505E0
2.168000E-1,8.025849E0,5.794460E0
2.500333E-1,7.768784E0,5.881027E0
3.000000E-1,7.425122E0,5.996005E0
3.333667E-1,7.177898E0,6.066901E0
3.666333E-1,7.058924E0,6.082365E0
4.251333E-1,6.713037E0,6.152899E0
4.734667E-1,6.370537E0,6.194710E0
5.000333E-1,6.007105E0,6.212647E0
5.333333E-1,5.743628E0,6.209491E0
5.667000E-1,5.527896E0,6.193456E0
6.000000E-1,5.280064E0,6.170593E0
6.333333E-1,5.069299E0,6.133425E0
6.666667E-1,4.820603E0,6.088942E0
7.000000E-1,4.610563E0,6.033373E0
7.333333E-1,4.344432E0,5.967526E0
7.667000E-1,4.132573E0,5.889133E0
8.000333E-1,3.906366E0,5.809647E0
8.333667E-1,3.673177E0,5.701638E0
8.666667E-1,3.446646E0,5.592162E0
9.000333E-1,3.228189E0,5.472514E0
9.333667E-1,2.999386E0,5.342365E0
9.667333E-1,2.747897E0,5.195366E0
1.000000E0,2.546200E0,5.052219E0
1.033367E0,2.325931E0,4.889018E0
1.066700E0,2.089939E0,4.712990E0
1.100033E0,1.846666E0,4.531231E0
1.150033E0,1.549805E0,4.251333E0
1.200067E0,1.191097E0,3.930065E0
1.233400E0,9.635808E-1,3.707719E0
1.266733E0,7.620479E-1,3.488602E0
1.300100E0,5.204393E-1,3.230722E0
