t,x,y
0.000000E0,9.510000E0,2.999500E0
3.326667E-2,9.343897E0,3.106163E0
6.663333E-2,9.068488E0,3.248038E0
9.996667E-2,8.769871E0,3.401972E0
1.333333E-1,8.457413E0,3.550891E0
1.666667E-1,8.191223E0,3.680194E0
2.000000E-1,7.892555E0,3.797588E0
2.333667E-1,7.578752E0,3.910618E0
2.833333E-1,7.133687E0,4.058447E0
3.166000E-1,6.838181E0,4.140429E0
3.499667E-1,6.571718E0,4.200456E0
3.833333E-1,6.254742E0,4.264083E0
4.166667E-1,5.989631E0,4.303138E0
4.500000E-1,5.707013E0,4.343565E0
4.833333E-1,5.424053E0,4.375918E0
5.166667E-1,5.133267E0,4.383920E0
5.499667E-1,4.833020E0,4.397398E0
5.833333E-1,4.551483E0,4.383613E0
6.167000E-1,4.248189E0,4.376128E0
6.499667E-1,3.962151E0,4.342413E0
6.833000E-1,3.684274E0,4.301946E0
7.166667E-1,3.437973E0,4.253290E0
7.500000E-1,3.129083E0,4.194722E0
7.833333E-1,2.847101E0,4.121947E0
8.167000E-1,2.571667E0,4.039820E0
8.500000E-1,2.310740E0,3.939221E0
8.833000E-1,2.037083E0,3.839436E0
9.166667E-1,1.772994E0,3.719073E0
9.560333E-1,1.473890E0,3.601401E0
9.833333E-1,1.225609E0,3.462324E0
1.022467E0,9.549481E-1,3.320993E0
1.050000E0,6.735447E-1,3.176649E0
1.083333E0,4.170856E-1,3.003112E0
