t,x,y
0.000000E0,9.505594E0,4.998302E0
3.326667E-2,9.384239E0,5.315184E0
6.666667E-2,9.206773E0,5.634315E0
1.000000E-1,9.049962E0,5.922458E0
1.333333E-1,8.870706E0,6.216924E0
1.665667E-1,8.729791E0,6.480500E0
2.000000E-1,8.567178E0,6.758194E0
2.333333E-1,8.387810E0,6.999197E0
2.666667E-1,8.230363E0,7.239030E0
2.999333E-1,8.081539E0,7.459823E0
3.350667E-1,7.922787E0,7.679576E0
3.665667E-1,7.790383E0,7.878661E0
4.031333E-1,7.604240E0,8.072324E0
4.332667E-1,7.457915E0,8.247967E0
4.666333E-1,7.320581E0,8.419015E0
5.166333E-1,7.077536E0,8.644776E0
5.499667E-1,6.947412E0,8.792065E0
5.832333E-1,6.763948E0,8.918201E0
6.166667E-1,6.635703E0,9.035507E0
6.499667E-1,6.466451E0,9.140067E0
6.833000E-1,6.322724E0,9.237955E0
7.166667E-1,6.162875E0,9.319290E0
7.499000E-1,6.077901E0,9.358424E0
7.850667E-1,5.874867E0,9.457011E0
8.166333E-1,5.730957E0,9.504991E0
8.500000E-1,5.559798E0,9.539984E0
8.833333E-1,5.418142E0,9.566823E0
9.194333E-1,5.262307E0,9.582257E0
9.499333E-1,5.146977E0,9.594137E0
9.833333E-1,4.981736E0,9.583196E0
1.016700E0,4.852404E0,9.567540E0
1.050033E0,4.676946E0,9.540988E0
1.083267E0,4.567177E0,9.500973E0
1.116700E0,4.432207E0,9.456970E0
1.166633E0,4.188440E0,9.363885E0
1.199967E0,4.029582E0,9.283397E0
1.233300E0,3.905052E0,9.201695E0
1.266700E0,3.781653E0,9.101591E0
1.299967E0,3.648509E0,8.998828E0
1.333367E0,3.505017E0,8.879228E0
1.366700E0,3.367509E0,8.758197E0
1.400033E0,3.200193E0,8.618013E0
1.433367E0,3.081135E0,8.460940E0
1.468667E0,2.924894E0,8.314978E0
1.500033E0,2.784721E0,8.140528E0
1.533300E0,2.642797E0,7.962343E0
1.569667E0,2.503674E0,7.776534E0
1.600000E0,2.363720E0,7.577579E0
1.633367E0,2.228926E0,7.365103E0
1.666667E0,2.088838E0,7.142202E0
1.699933E0,1.953944E0,6.912312E0
1.733400E0,1.822749E0,6.676942E0
1.766667E0,1.698363E0,6.421587E0
1.800067E0,1.546442E0,6.160014E0
1.835200E0,1.413306E0,5.894381E0
1.866733E0,1.290533E0,5.613892E0
1.900067E0,1.143535E0,5.319628E0
1.933400E0,1.002776E0,5.020734E0
1.969700E0,8.863736E-1,4.714728E0
2.000067E0,7.411387E-1,4.395265E0
2.033400E0,6.132427E-1,4.070719E0
2.066633E0,4.941747E-1,3.734438E0
2.100067E0,3.449127E-1,3.379181E0
