t,x,y
0.000000E0,9.506481E0,3.991136E0
4.970000E-2,9.025988E0,4.138531E0
7.683333E-2,8.498892E0,4.239808E0
1.182667E-1,8.307736E0,4.293293E0
1.518667E-1,7.982511E0,4.355704E0
1.993000E-1,7.267937E0,4.472627E0
2.435000E-1,6.745321E0,4.513160E0
2.768333E-1,6.404512E0,4.531783E0
3.101667E-1,6.046106E0,4.528367E0
3.435000E-1,5.707372E0,4.531069E0
3.847667E-1,5.526686E0,4.547101E0
4.327333E-1,5.025565E0,4.492374E0
4.661667E-1,4.506417E0,4.446512E0
5.102000E-1,4.007475E0,4.370930E0
5.435667E-1,3.665936E0,4.292217E0
5.769000E-1,3.343858E0,4.214190E0
6.174667E-1,3.181146E0,4.194890E0
6.602333E-1,2.503279E0,3.991558E0
6.994000E-1,2.216709E0,3.871943E0
7.329667E-1,2.023135E0,3.805095E0
7.687667E-1,1.702210E0,3.673223E0
7.998000E-1,1.215290E0,3.449920E0
8.505000E-1,8.861410E-1,3.306855E0
9.004667E-1,4.033495E-1,3.065951E0
