t,x,y
0.000000E0,9.509000E0,2.996667E0
3.333333E-2,9.244267E0,3.223457E0
6.670000E-2,8.970963E0,3.437812E0
1.000333E-1,8.769505E0,3.635251E0
1.333667E-1,8.530091E0,3.832812E0
1.669667E-1,8.291494E0,3.998816E0
2.166667E-1,7.939360E0,4.256430E0
2.500000E-1,7.688151E0,4.399249E0
2.833667E-1,7.479791E0,4.536019E0
3.167000E-1,7.250075E0,4.657955E0
3.500333E-1,7.029797E0,4.758243E0
4.000333E-1,6.688424E0,4.915860E0
4.333667E-1,6.441579E0,5.003107E0
4.667333E-1,6.232363E0,5.076359E0
4.930000E-1,6.112163E0,5.115334E0
5.333667E-1,5.748160E0,5.194521E0
5.666667E-1,5.534528E0,5.234665E0
6.000000E-1,5.310521E0,5.260951E0
6.333333E-1,5.068188E0,5.278858E0
6.666667E-1,4.843728E0,5.294394E0
7.000000E-1,4.608709E0,5.289305E0
7.333333E-1,4.433443E0,5.274061E0
7.666333E-1,4.172755E0,5.253061E0
8.000333E-1,3.972422E0,5.218162E0
8.333333E-1,3.730204E0,5.173046E0
8.666667E-1,3.516428E0,5.116625E0
9.000000E-1,3.291823E0,5.041611E0
9.335667E-1,3.087473E0,4.959342E0
9.666667E-1,2.867872E0,4.877322E0
1.024133E0,2.666737E0,4.778645E0
1.050000E0,2.348227E0,4.614907E0
1.083367E0,2.111827E0,4.482534E0
1.116667E0,1.890532E0,4.351242E0
1.150000E0,1.688763E0,4.202472E0
1.183600E0,1.489690E0,4.038896E0
1.216633E0,1.249531E0,3.876749E0
1.250067E0,1.064701E0,3.699696E0
1.283633E0,8.301841E-1,3.512908E0
1.316633E0,6.411748E-1,3.316878E0
1.349967E0,4.183612E-1,3.114041E0
