t,x,y
0.000000E0,9.516170E0,2.989083E0
3.336667E-2,9.337336E0,3.266754E0
6.666667E-2,9.139336E0,3.551591E0
1.000000E-1,8.957064E0,3.810003E0
1.333000E-1,8.752534E0,4.061552E0
1.666333E-1,8.583732E0,4.320245E0
1.999667E-1,8.381831E0,4.547588E0
2.333333E-1,8.171640E0,4.769727E0
2.666333E-1,8.001788E0,4.970632E0
2.999667E-1,7.798693E0,5.167057E0
3.333000E-1,7.641821E0,5.346743E0
3.666333E-1,7.410033E0,5.525767E0
3.999667E-1,7.257782E0,5.670904E0
4.333000E-1,7.052719E0,5.823838E0
4.666333E-1,6.897155E0,5.949866E0
4.999333E-1,6.693363E0,6.086990E0
5.333000E-1,6.527591E0,6.191006E0
5.666000E-1,6.356730E0,6.293397E0
5.999333E-1,6.174322E0,6.387826E0
6.387667E-1,5.998321E0,6.468567E0
6.668333E-1,5.815728E0,6.530979E0
6.999333E-1,5.611612E0,6.593323E0
7.332667E-1,5.455456E0,6.630731E0
7.666000E-1,5.276705E0,6.672512E0
7.999000E-1,5.085505E0,6.694228E0
8.332667E-1,4.931949E0,6.710795E0
8.666000E-1,4.751775E0,6.712035E0
9.074667E-1,4.553994E0,6.708952E0
9.333000E-1,4.373699E0,6.690875E0
9.832333E-1,4.136840E0,6.631027E0
1.016600E0,3.951684E0,6.593580E0
1.049933E0,3.778123E0,6.533279E0
1.083233E0,3.621859E0,6.466831E0
1.116600E0,3.425491E0,6.390720E0
1.149967E0,3.273124E0,6.293874E0
1.183500E0,3.084541E0,6.207229E0
1.233267E0,2.827789E0,6.035025E0
1.266633E0,2.677409E0,5.908018E0
1.316600E0,2.399416E0,5.707881E0
1.349967E0,2.265731E0,5.550208E0
1.383533E0,2.087682E0,5.390980E0
1.416600E0,1.915969E0,5.224767E0
1.449967E0,1.736816E0,5.048478E0
1.500000E0,1.483082E0,4.749819E0
1.533300E0,1.331506E0,4.532626E0
1.566667E0,1.172393E0,4.313243E0
1.600000E0,1.013539E0,4.090420E0
1.633333E0,8.541174E-1,3.850933E0
1.666667E0,6.915726E-1,3.607199E0
1.700133E0,5.312369E-1,3.347424E0
1.733333E0,3.654286E-1,3.071728E0
