t,x,y
0.000000E0,9.506844E0,9.930469E-1
3.323333E-2,9.381520E0,1.112358E0
6.656667E-2,9.051463E0,1.335629E0
1.001000E-1,8.725839E0,1.555969E0
1.332333E-1,8.438949E0,1.759478E0
1.666333E-1,8.150359E0,1.953572E0
1.999000E-1,7.842764E0,2.131411E0
2.332333E-1,7.512760E0,2.310797E0
2.666333E-1,7.208742E0,2.470388E0
2.999000E-1,6.928694E0,2.612436E0
3.331667E-1,6.605979E0,2.751650E0
3.667333E-1,6.329082E0,2.873425E0
3.999000E-1,6.006542E0,2.988431E0
4.332333E-1,5.727257E0,3.093162E0
4.665333E-1,5.417057E0,3.177478E0
4.998333E-1,5.147915E0,3.267048E0
5.332000E-1,4.828438E0,3.331898E0
5.664667E-1,4.524030E0,3.388298E0
6.033333E-1,4.255205E0,3.433277E0
6.360000E-1,3.970080E0,3.472954E0
6.665333E-1,3.664843E0,3.493337E0
6.999333E-1,3.361427E0,3.508602E0
7.332333E-1,3.070801E0,3.509282E0
7.665667E-1,2.804811E0,3.497392E0
7.999667E-1,2.511540E0,3.477870E0
8.499000E-1,2.089948E0,3.432670E0
8.832333E-1,1.786064E0,3.390519E0
9.167333E-1,1.526549E0,3.330419E0
9.499000E-1,1.246417E0,3.255451E0
9.833000E-1,9.678445E-1,3.174943E0
1.016600E0,6.860855E-1,3.092266E0
1.049933E0,3.839344E-1,2.991842E0
