t,x,y
0.000000E0,9.508794E0,1.997004E0
3.333333E-2,9.369471E0,2.167805E0
6.666667E-2,9.164823E0,2.377832E0
9.993333E-2,8.961974E0,2.620229E0
1.333333E-1,8.750536E0,2.855590E0
1.665667E-1,8.523794E0,3.073697E0
1.999333E-1,8.300751E0,3.282046E0
2.333333E-1,8.085727E0,3.480648E0
2.667000E-1,7.850579E0,3.674486E0
3.000333E-1,7.650206E0,3.842710E0
3.333667E-1,7.408210E0,4.014012E0
3.666667E-1,7.203478E0,4.162023E0
4.000333E-1,6.948199E0,4.319318E0
4.499667E-1,6.645159E0,4.498113E0
4.833333E-1,6.415138E0,4.616124E0
5.166667E-1,6.191266E0,4.713153E0
5.500000E-1,5.970827E0,4.799506E0
5.833333E-1,5.753903E0,4.877689E0
6.166667E-1,5.558890E0,4.949116E0
6.666333E-1,5.246877E0,5.032311E0
7.000000E-1,5.012332E0,5.075028E0
7.333000E-1,4.794047E0,5.097225E0
7.666667E-1,4.607964E0,5.117294E0
8.000333E-1,4.390091E0,5.121634E0
8.336000E-1,4.183312E0,5.116961E0
8.667333E-1,3.987223E0,5.097500E0
9.000667E-1,3.769671E0,5.075576E0
9.333667E-1,3.571677E0,5.039536E0
9.667000E-1,3.359841E0,4.991664E0
1.000100E0,3.167053E0,4.936680E0
1.033400E0,2.960850E0,4.873234E0
1.066733E0,2.735006E0,4.780291E0
1.100067E0,2.541397E0,4.696285E0
1.133433E0,2.330975E0,4.596608E0
1.166767E0,2.139033E0,4.480564E0
1.200167E0,1.926963E0,4.357730E0
1.250067E0,1.649551E0,4.158438E0
1.283400E0,1.437463E0,4.014130E0
1.316700E0,1.243798E0,3.854783E0
1.350067E0,1.045897E0,3.694968E0
1.383400E0,8.272258E-1,3.514554E0
1.416967E0,6.479168E-1,3.334730E0
1.450000E0,4.287536E-1,3.120450E0
