t,x,y
0.000000E0,9.512213E0,2.009081E0
3.333333E-2,9.259621E0,2.231214E0
6.670000E-2,8.967482E0,2.453503E0
1.002000E-1,8.734126E0,2.652058E0
1.334000E-1,8.473598E0,2.852044E0
1.833667E-1,8.060626E0,3.121447E0
2.167000E-1,7.812875E0,3.290726E0
2.667000E-1,7.435041E0,3.525305E0
3.000000E-1,7.153452E0,3.667325E0
3.370000E-1,6.920167E0,3.786718E0
3.667000E-1,6.661361E0,3.906740E0
4.000667E-1,6.417613E0,4.010587E0
4.333667E-1,6.124418E0,4.104114E0
4.667000E-1,5.877598E0,4.189703E0
5.000667E-1,5.602483E0,4.258006E0
5.334000E-1,5.365114E0,4.310872E0
5.667000E-1,5.115029E0,4.354852E0
6.000333E-1,4.857454E0,4.393749E0
6.334000E-1,4.629278E0,4.429442E0
6.667667E-1,4.388049E0,4.434805E0
7.004000E-1,4.142637E0,4.445774E0
7.500667E-1,3.755019E0,4.426989E0
7.834000E-1,3.501097E0,4.406373E0
8.167333E-1,3.292979E0,4.373310E0
8.559333E-1,3.049102E0,4.327926E0
8.890333E-1,2.790556E0,4.271562E0
9.169333E-1,2.570972E0,4.207773E0
9.500333E-1,2.329203E0,4.130322E0
9.833667E-1,2.089127E0,4.047353E0
1.037967E0,1.827360E0,3.948892E0
1.066700E0,1.489659E0,3.789351E0
1.100000E0,1.228518E0,3.653991E0
1.133333E0,9.904471E-1,3.527392E0
1.166700E0,7.621470E-1,3.376538E0
1.200067E0,5.149592E-1,3.219117E0
1.233433E0,3.074027E-1,3.051796E0
